subject,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-101,16.0,1562222.539474
sub-103,42.0,1692744.49823
sub-104,35.0,1384595.392328
sub-108,53.0,1661247.15455
sub-109,23.0,1621123.019769
sub-112,58.0,1603934.89413
sub-116,40.0,1581956.098405
sub-117,85.0,1736632.12365
sub-119,47.0,1644702.862814
sub-121,17.0,1547497.698573
sub-123,55.0,1739622.538978
sub-124,56.0,1658799.373389
sub-125,27.0,1220190.932215
sub-126,37.0,1478029.176241
sub-127,29.0,1920686.681696
sub-128,53.0,1614386.880969
sub-130,22.0,1855854.082808
sub-132,34.0,1804379.758673
sub-133,41.0,1506149.433822
sub-202,15.0,1542527.236173
sub-206,38.0,1672605.833917
sub-207,25.0,1555500.117691
sub-209,11.0,1852728.957665
sub-211,45.0,1996202.351648
sub-213,36.0,1778591.464323
sub-218,30.0,1546221.358979
sub-222,29.0,1625426.433571
sub-302,39.0,1782430.199505
sub-304,30.0,1512677.85799
sub-305,18.0,1715371.065622
sub-306,26.0,1683962.294388
sub-308,34.0,1760538.879577
sub-309,33.0,1874594.505581
sub-311,22.0,1850667.100075
sub-313,37.0,1449831.246148
sub-314,26.0,1593764.090857
sub-316,33.0,1920606.772684
sub-318,43.0,1672858.03849
sub-319,30.0,1649146.19431
sub-320,21.0,1842362.538279
